Header,Content,acronym,Related_To,Synonym,Is_Synonym,regex_keys
ROC (receiver operating characteristic) Curve,"A graph oftrue positive rateversusfalse positive ratefor differentclassification thresholdsin binary
classification. The shape of an ROC curve suggests a binary classification model's ability
to separate positive classes from negative classes. Suppose, for example,
that a binary classification model perfectly separates all the negative
classes from all the positive classes:  The ROC curve for the preceding model looks as follows:  In contrast, the following illustration graphs the raw logistic regression
values for a terrible model that can't separate negative classes from
positive classes at all:  The ROC curve for this model looks as follows:  Meanwhile, back in the real world, most binary classification models separate
positive and negative classes to some degree, but usually not perfectly. So,
a typical ROC curve falls somewhere between the two extremes:  The point on an ROC curve closest to (0.0,1.0) theoretically identifies the
ideal classification threshold. However, several other real-world issues
influence the selection of the ideal classification threshold. For example,
perhaps false negatives cause far more pain than false positives. A numerical metric calledAUCsummarizes the ROC curve into
a single floating-point value.",,"['binary classification', 'class', 'classification model', 'classification threshold', 'graph', 'logistic regression', 'metric', 'model', 'negative class', 'positive class']",,false,"(ROC(\s|-)?(\s|-)?Curve|\s(\s|\.|\,))"
Rectified Linear Unit,"Anactivation functionwith the following behavior: For example: Here is a plot of ReLU:  ReLU is a very popular activation function. Despite its simple behavior,
ReLU still enables a neural network to learnnonlinearrelationships betweenfeaturesand thelabel.",ReLU,"['activation function', 'feature', 'label', 'linear', 'neural network', 'nonlinear', 'online']",,false,"(Rectified(\s|-)?Linear(\s|-)?Unit|\sReLU(\s|\.|\,)|\s(\s|\.|\,))"
Praxis,"A core, high-performance ML library of Pax. Praxis is often
called the ""Layer library"". Praxis contains not just the definitions for the Layer class, but most of
its supporting components as well, including: Praxis provides the definitions for the Model class. ",,"['class', 'layer', 'model', 'Pax', 'performance']",,false,"(Praxis|\s(\s|\.|\,))"
R-squared,"A regression metric indicating how much variation in a label is due to an individual feature or to a feature set.
R-squared is a value between 0 and 1, which you can interpret as follows: R-squared is the square of the Pearson correlation
coefficientbetween the values that a model predicted andground truth. ",,"['feature', 'feature set', 'ground truth', 'label', 'metric', 'model']",,false,"(R(\s|-)?squared|\s(\s|\.|\,))"
Gradient Scaling,TBC,,,,,(Gradient(\s|-)?Scal)
queue,"A TensorFlowOperationthat implements a queue data
structure. Typically used in I/O. ",,"['Tensor', 'TensorFlow']",,false,"(queue|\s(\s|\.|\,))"
upweighting,"Applying a weight to thedownsampledclass equal
to the factor by which you downsampled.",,"['class', 'weight']",,false,"(upweight|\s(\s|\.|\,))"
sparse vector,"A vector whose values are mostly zeroes. See alsosparse
featureandsparsity. ",,"['feature', 'sparsity', 'vector']",,false,"(sparse(\s|-)?vector|\s(\s|\.|\,))"
Transformer,"Aneural networkarchitecture developed at Google that
relies onself-attentionmechanisms to transform a
sequence of input embeddings into a sequence of output
embeddings without relying onconvolutionsorrecurrent neural networks. A Transformer can be
viewed as a stack of self-attention layers. A Transformer can include any of the following: Anencodertransforms a sequence of embeddings into a new sequence of the
same length. An encoder includes N identical layers, each of which contains two
sub-layers. These two sub-layers are applied at each position of the input
embedding sequence, transforming each element of the sequence into a new
embedding. The first encoder sub-layer aggregates information from across the
input sequence. The second encoder sub-layer transforms the aggregated
information into an output embedding. Adecodertransforms a sequence of input embeddings into a sequence of
output embeddings, possibly with a different length. A decoder also includes
N identical layers with three sub-layers, two of which are similar to the
encoder sub-layers. The third decoder sub-layer takes the output of the
encoder and applies theself-attentionmechanism to
gather information from it. The blog postTransformer: A Novel Neural Network Architecture for Language
Understandingprovides a good introduction to Transformers.",,"['attention', 'convolution', 'decoder', 'encoder', 'layer', 'neural network', 'recurrent neural network', 'Tensor Processing Unit']",,false,"(Transformer|\s(\s|\.|\,))"
Weighted Alternating Least Squares (WALS),"An algorithm for minimizing the objective function during matrix factorization in recommendation systems, which allows a
downweighting of the missing examples. WALS minimizes the weighted
squared error between the original matrix and the reconstruction by
alternating between fixing the row factorization and column factorization.
Each of these optimizations can be solved by least squaresconvex optimization.",,"['convex optimization', 'matrix factorization', 'objective', 'objective function', 'recommendation system', 'weight']",,false,"(Weighted(\s|-)?Alternating(\s|-)?Least(\s|-)?Squares(\s|-)?|\s(\s|\.|\,))"
in-context learning,Synonym for few-shot prompting.,,"['few-shot prompting', 'prompt']",few-shot prompting,true,"(in(\s|-)?context(\s|-)?learn|\sfew-shot prompting(\s|\.|\,))"
gini impurity,"A metric similar toentropy.Splittersuse values derived from either gini impurity or entropy to composeconditionsfor classificationdecision trees.Information gainis derived from entropy.
There is no universally accepted equivalent term for the metric derived
from gini impurity; however, this unnamed metric is just as important as
information gain. Gini impurity is also calledgini index, or simplygini. Gini impurity is the probability of misclassifying a new piece of data
taken from the same distribution. The gini impurity of a set with two
possible values ""0"" and ""1"" (for example, the labels in abinary classificationproblem)
is calculated from the following formula: I = 1 - (p2+ q2) = 1 - (p2+ (1-p)2) where: For example, consider the following dataset: Therefore, the gini impurity is: Consequently, a random label from the same dataset would have a 37.5% chance
of being misclassified, and a 62.5% chance of being properly classified. A perfectly balanced label (for example, 200 ""0""s and 200 ""1""s) would have a
gini impurity of 0.5. A highlyimbalancedlabel would have a
gini impurity close to 0.0. ",,"['binary classification', 'class', 'condition', 'decision tree', 'distribution', 'entropy', 'information gain', 'label', 'metric', 'split', 'splitter']",,false,"(gini(\s|-)?impurity|\s(\s|\.|\,))"
hashing,"In machine learning, a mechanism for bucketingcategorical data, particularly when the number
of categories is large, but the number of categories actually appearing
in the dataset is comparatively small. For example, Earth is home to about 73,000 tree species. You could
represent each of the 73,000 tree species in 73,000 separate categorical
buckets. Alternatively, if only 200 of those tree species actually appear
in a dataset, you could use hashing to divide tree species into
perhaps 500 buckets. A single bucket could contain multiple tree species. For example, hashing
could placebaobabandred maple—two genetically dissimilar
species—into the same bucket. Regardless, hashing is still a good way to
map large categorical sets into the selected number of buckets. Hashing turns a
categorical feature having a large number of possible values into a much
smaller number of values by grouping values in a
deterministic way. ",,"['bucketing', 'categorical data', 'feature', 'machine learning']",,false,"(hashing|\s(\s|\.|\,))"
gradient clipping,"A commonly used mechanism to mitigate the exploding gradient problem by artificially
limiting (clipping) the maximum value of gradients when using gradient descent to train a model.",,"['clipping', 'exploding gradient problem', 'gradient', 'gradient descent', 'model']",,false,"(gradient(\s|-)?clipp|\s(\s|\.|\,))"
divisive clustering,Seehierarchical clustering.,,"['clustering', 'hierarchical clustering']",,false,"(divisive(\s|-)?cluster|\s(\s|\.|\,))"
action,"In reinforcement learning,
the mechanism by which the agent transitions between states of the environment. The agent chooses the action by using a policy.",,"['agent', 'environment', 'policy', 'state']",,false,"(action|\s(\s|\.|\,))"
gradient boosted (decision) trees (GBT),A type of decision forest in which...,,"['decision forest']",,false,"(gradient(\s|-)?boosted(\s|-)?(\s|-)?trees(\s|-)?|\s(\s|\.|\,))"
leaf,"Any endpoint in adecision tree. Unlike acondition, a leaf doesn't perform a test.
Rather, a leaf is a possible prediction. A leaf is also the terminalnodeof aninference path. For example, the following decision tree contains three leaves:  ",,"['condition', 'decision tree', 'inference', 'inference path', 'prediction', 'test']",,false,"(leaf|\s(\s|\.|\,))"
loss surface,"A graph of weight(s) versus loss. Gradient descent aims
to find the weight(s) for which the loss surface is at a local minimum.",,"['gradient', 'gradient descent', 'graph', 'loss', 'weight']",,false,"(loss(\s|-)?surface|\s(\s|\.|\,))"
ground truth,"Reality. The thing that actually happened. For example, consider a binary classification model that predicts whether a student in their first year of university
will graduate within six years. Ground truth for this model is whether or
not that student actually graduated within six years. We assess model quality against ground truth. However, ground truth
is not always completely, well, truthful. For example, consider the
following examples of potential imperfections in ground truth:",,"['binary classification', 'class', 'model']",,false,"(ground(\s|-)?truth|\s(\s|\.|\,))"
gradient descent,A mathematical technique that iteratively adjusts weights and biases to gradually find the best combination that minimizes loss.,,"['gradient', 'loss', 'machine learning', 'weight']",,false,"(gradient(\s|-)?descent|\s(\s|\.|\,))"
bias (math) or bias term,"An intercept or offset from an origin. Bias is a parameter in
machine learning models, which is symbolized by either of the
following: For example, bias is thebin the following formula: In a simple two-dimensional line, bias just means ""y-intercept.""
For example, the bias of the line in the following illustration is 2.  Bias exists because not all models start from the origin (0,0). For example,
suppose an amusement park costs 2 Euros to enter and an additional
0.5 Euro for every hour a customer stays. Therefore, a model mapping the
total cost has a bias of 2 because the lowest cost is 2 Euros. Bias is not to be confused withbias in ethics and fairnessorprediction bias.",,"['cost', 'machine learning', 'model', 'parameter', 'prediction', 'prediction bias']",,false,"(bias(\s|-)?(\s|-)?or(\s|-)?bias(\s|-)?term|\s(\s|\.|\,))"
oblique condition,"In adecision tree, aconditionthat involves more than onefeature. For example, if height and width are both features,
then the following is an oblique condition: Contrast withaxis-aligned condition.",,"['axis-aligned condition', 'condition', 'decision tree', 'feature', 'width']",,false,"(oblique(\s|-)?condit|\s(\s|\.|\,))"
serving,The process of making a trained model available to provide predictions throughonline inferenceoroffline inference. ,,"['inference', 'model', 'offline', 'offline inference', 'online', 'online inference', 'prediction']",,false,"(serving|\s(\s|\.|\,))"
text span,"The array index span associated with a specific subsection of a text string.
For example, the wordgoodin the Python strings=""Be good now""occupies
the text span from 3 to 6.",,[],,false,"(text(\s|-)?span|\s(\s|\.|\,))"
dimension reduction,"Decreasing the number of dimensions used to represent a particular feature
in a feature vector, typically by
converting to an embedding vector. ",,"['dimensions', 'embedding vector', 'feature', 'feature vector', 'vector']",,false,"(dimension(\s|-)?reduct|\s(\s|\.|\,))"
quantization,"A technique to reduce the number of bits required to store model parameters (e.g. weights and biases).
Quantization converts the model parameters from 32 bits down to 4, 8, or 16 bits. 
Quantization may result in a decrease in the model's performance. ",,"['model', 'parameter', 'prediction']",,false,"(quantizat|\s(\s|\.|\,))"
classification model,"Amodelwhose prediction is aclass.
For example, the following are all classification models: In contrast,regression modelspredict numbers
rather than classes. Two common types of classification models are:",,"['class', 'model', 'prediction', 'regression model']",,false,"(classification(\s|-)?model|\s(\s|\.|\,))"
co-adaptation,"When neurons predict patterns in training data by relying
almost exclusively on outputs of specific other neurons instead of relying on
the network's behavior as a whole. When the patterns that cause co-adaptation
are not present in validation data, then co-adaptation causes overfitting. Dropout regularization reduces co-adaptation
because dropout ensures neurons cannot rely solely on specific other neurons.",,"['dropout regularization', 'neuron', 'overfitting', 'regularization', 'training', 'validation', 'Tensor Processing Unit']",,false,"(co(\s|-)?adaptat|\s(\s|\.|\,))"
clipping,"A technique for handling outliers by doing
either or both of the following: For example, suppose that <0.5% of values for a particular feature fall
outside the range 40–60. In this case, you could do the following: Outliers can damage models, sometimes causingweightsto overflow during training. Some outliers can also dramatically spoil
metrics likeaccuracy. Clipping is a common technique to limit
the damage. Gradient clippingforcesgradientvalues within a designated range during training.",,"['accuracy', 'feature', 'gradient', 'gradient clipping', 'metric', 'model', 'outliers', 'training', 'weight']",,false,"(clipping|\s(\s|\.|\,))"
convex set,"A subset of Euclidean space such that a line drawn between any two points in the
subset remains completely within the subset. For instance, the following two
shapes are convex sets:  In contrast, the following two shapes are not convex sets:",,"['instance']",,false,"(convex(\s|-)?set|\s(\s|\.|\,))"
data parallelism,"A way of scalingtrainingorinferencethat replicates an entiremodelonto
multiple devices and then passes a subset of the input data to each device.
Data parallelism can enable training and inference on very largebatch sizes; however, data parallelism requires that the
model be small enough to fit on all devices. Data parallelism typically speeds training and inference. See alsomodel parallelism.",,"['batch', 'batch size', 'device', 'inference', 'model', 'model parallelism', 'replica', 'scaling', 'training']",,false,"(data(\s|-)?parallelism|\s(\s|\.|\,))"
splitter,"While training a decision tree, the routine
(and algorithm) responsible for finding the best condition at each node. ",,"['condition', 'decision tree', 'training']",,false,"(splitter|\s(\s|\.|\,))"
state,"In reinforcement learning, the parameter values that describe the current configuration of the environment, which the agent uses to choose an action.",,"['action', 'agent', 'configuration', 'environment', 'parameter']",,false,"(state|\s(\s|\.|\,))"
one-shot prompting,"A prompt that contains one example demonstrating how the large language modelshould respond. For example,
the following prompt contains one example showing a large language model how
it should answer a query.",,"['language model', 'large language model', 'model', 'prompt']",,false,"(one(\s|-)?shot(\s|-)?prompt|\s(\s|\.|\,))"
ridge regularization,"Synonym for L2 regularization. The termridge regularizationis more frequently used in pure statistics
contexts, whereasL2regularizationis used more often
in machine learning.",,"['L2regularization', 'machine learning', 'regularization']",l2regularization,true,"(ridge(\s|-)?regularizat|\sL2regularization(\s|\.|\,))"
intersection over union,"The intersection of two sets divided by their union. In machine-learning
image-detection tasks, IoU is used to measure the accuracy of the model's
predicted bounding box with respect to the ground-truth bounding box. In this case, the IoU for the two boxes is the ratio between the overlapping area and the total area, and
its value ranges from 0 (no overlap of predicted bounding box and ground-truth
bounding box) to 1 (predicted bounding box and ground-truth bounding box have
the exact same coordinates). For example, in the image below:  Here, the intersection of the bounding boxes for prediction and ground truth
(below left) is 1, and the union of the bounding boxes for prediction and
ground truth (below right) is 7, so the IoU is \(\frac{1}{7}\). ",IoU,"['accuracy', 'bounding box', 'ground truth', 'model', 'prediction', 'task']",,false,"(intersection(\s|-)?over(\s|-)?un|\sIoU(\s|\.|\,)|\s(\s|\.|\,))"
inference path,"In adecision tree, duringinference,
the route a particularexampletakes from therootto otherconditions, terminating with
aleaf. For instance, in the following decision tree, the
thicker arrows show the inference path for an example with the following
feature values: The inference path in the following illustration travels through three
conditions before reaching the leaf (Zeta).  The three thick arrows show the inference path.",,"['condition', 'decision tree', 'feature', 'inference', 'instance', 'leaf', 'root']",,false,"(inference(\s|-)?path|\s(\s|\.|\,))"
information gain,"Indecision forests, the difference between
a node'sentropyand the weighted (by number of examples)
sum of the entropy of its children nodes. A node's entropy is the entropy
of the examples in that node. For example, consider the following entropy values: So 40% of the examples are in one child node and 60% are in the
other child node. Therefore: So, the information gain is: Mostsplittersseek to createconditionsthat maximize information gain.",,"['condition', 'decision forest', 'entropy', 'split', 'splitter', 'weight']",,false,"(information(\s|-)?gain|\s(\s|\.|\,))"
input generator,"A mechanism by which data is loaded into
aneural network. An input generator can be thought of as a component responsible for processing
raw data into tensors which are iterated over to generate batches for
training, evaluation, and inference.",,"['batch', 'evaluation', 'generator', 'inference', 'neural network', 'Tensor', 'training']",,false,"(input(\s|-)?generator|\s(\s|\.|\,))"
inter-rater agreement,"A measurement of how often human raters agree when doing a task.
If raters disagree, the task instructions may need to be improved.
Also sometimes calledinter-annotator agreementorinter-rater reliability. See alsoCohen's
kappa,
which is one of the most popular inter-rater agreement measurements.",,"['rater', 'task']",,false,"(inter(\s|-)?rater(\s|-)?agreement|\s(\s|\.|\,))"
feature set,"The group offeaturesyour machine learningmodeltrains on.
For example, postal code, property size, and property condition might
comprise a simple feature set for a model that predicts housing prices.",,"['condition', 'feature', 'machine learning', 'model']",,false,"(feature(\s|-)?set|\s(\s|\.|\,))"
distillation,"The process of reducing the size of one model (known as the teacher) into a smaller model (known as the student) that emulates
the original model's predictions as faithfully as possible. Distillation
is useful because the smaller model has two key benefits over the larger
model (the teacher): However, the student's predictions are typically not as good as
the teacher's predictions. Distillation trains the student model to minimiz e aloss function based on the difference between the outputs of the predictions of the student and teacher models.",,"['loss', 'loss function', 'model', 'prediction', 'Tensor Processing Unit']",,false,"(distillat|\s(\s|\.|\,))"
eager execution,"A TensorFlow programming environment in whichoperationsrun immediately. In contrast, operations called ingraph executiondon't run until they are explicitly
evaluated. Eager execution is animperative interface, much
like the code in most programming languages. Eager execution programs are
generally far easier to debug than graph execution programs.",,"['environment', 'graph', 'graph execution', 'Tensor', 'TensorFlow']",,false,"(eager(\s|-)?execut|\s(\s|\.|\,))"
instruction tuning,"A form of fine-tuning that improves a generative AI model's ability to follow
instructions. Instruction tuning involves training a model on a series
of instruction prompts, typically covering a wide
variety of tasks. The resulting instruction-tuned model then tends to
generate useful responses tozero-shot promptsacross a variety of tasks. Compare and contrast with:",,"['generative AI', 'model', 'prompt', 'task', 'training']",,false,"(instruction(\s|-)?tun|\s(\s|\.|\,))"
item matrix,"Inrecommendation systems, a
matrix ofembedding vectorsgenerated bymatrix factorizationthat holds latent signals about eachitem.
Each row of the item matrix holds the value of a single latent
feature for all items.
For example, consider a movie recommendation system. Each column
in the item matrix represents a single movie. The latent signals
might represent genres, or might be harder-to-interpret
signals that involve complex interactions among genre, stars,
movie age, or other factors. The item matrix has the same number of columns as the target
matrix that is being factorized. For example, given a movie
recommendation system that evaluates 10,000 movie titles, the
item matrix will have 10,000 columns.",,"['action', 'embedding vector', 'feature', 'items', 'matrix factorization', 'recommendation system', 'target', 'vector']",,false,"(item(\s|-)?matrix|\s(\s|\.|\,))"
label,"Insupervised machine learning, the
""answer"" or ""result"" portion of anexample. Eachlabeled exampleconsists of one or morefeaturesand a label. For instance, in a spam
detection dataset, the label would probably be either ""spam"" or
""not spam."" In a rainfall dataset, the label might be the amount of
rain that fell during a certain period.",,"['feature', 'instance', 'labeled example', 'machine learning', 'supervised machine learning']",,false,"(label|\starget(\s|\.|\,))"
label leakage,"A model design flaw in which afeatureis a proxy for thelabel. For example, consider abinary classificationmodel that predicts
whether or not a prospective customer will purchase a particular product.
Suppose that one of the features for the model is a Boolean namedSpokeToCustomerAgent. Further suppose that a customer agent is only
assignedafterthe prospective customer has actually purchased the
product. During training, the model will quickly learn the association
betweenSpokeToCustomerAgentand the label.",,"['agent', 'binary classification', 'class', 'feature', 'label', 'model', 'training', 'retrieval-augmented generation']",,false,"(label(\s|-)?leakage|\s(\s|\.|\,))"
false negative rate,"The proportion of actual positive examples for which the model mistakenly
predicted the negative class. The following formula calculates the false
negative rate:",,"['class', 'model', 'negative class']",,false,"(false(\s|-)?negative(\s|-)?rate|\s(\s|\.|\,))"
edit distance,"A measurement of how similar two text strings are to each other.
In machine learning, edit distance is useful because it is simple to
compute, and an effective way to compare two strings that are known to be
similar or to find strings that are similar to a given string. There are several definitions of edit distance, each using different string
operations. For example, theLevenshtein distanceconsiders the fewest delete, insert, and substitute operations. For example, the Levenshtein distance between the words ""heart"" and ""darts""
is 3 because the following 3 edits are the fewest changes to turn one word
into the other: ",,"['machine learning']",,false,"(edit(\s|-)?distance|\s(\s|\.|\,))"
embedding space,"The d-dimensional vector space that features from a higher-dimensional
vector space are mapped to. Ideally, the embedding space contains a
structure that yields meaningful mathematical results; for example,
in an ideal embedding space, addition and subtraction of embeddings
can solve word analogy tasks. Thedot productof two embeddings is a measure of their similarity.",,"['action', 'feature', 'task', 'vector']",,false,"(embedding(\s|-)?space|\slatent space(\s|\.|\,))"
environment,"In reinforcement learning, the world that contains theagentand allows the agent to observe that world'sstate. For example,
the represented world can be a game like chess, or a physical world like a
maze. When the agent applies anactionto the environment,
then the environment transitions between states.",,"['action', 'agent', 'state']",,false,"(environment|\s(\s|\.|\,))"
empirical risk minimization (ERM),"Choosing the function that minimizes loss on the training set. Contrast
withstructural risk minimization.",,"['loss', 'training', 'training set']",,false,"(empirical(\s|-)?risk(\s|-)?minimization(\s|-)?|\s(\s|\.|\,))"
linear regression,"A type of machine learning model in which both of the following are true: Contrast linear regression withlogistic regression.
Also, contrast regression withclassification. ",,"['class', 'linear', 'logistic regression', 'machine learning', 'model']",,false,"(linear(\s|-)?regress|\s(\s|\.|\,))"
multi-head self-attention,"An extension ofself-attentionthat applies the
self-attention mechanism multiple times for each position in the input sequence. Transformersintroduced multi-head self-attention.",,"['attention', 'Transformer']",,false,"(multi(\s|-)?head(\s|-)?self(\s|-)?attent|\s(\s|\.|\,))"
predictive ML,"Any standard (""classic"")machine learningsystem. The termpredictive MLdoesn't have a formal definition.
Rather, the term distinguishes a category of ML systemsnotbased ongenerative AI.",,"['class', 'generative AI', 'machine learning']",,false,"(predictive(\s|-)?ML|\s(\s|\.|\,))"
predictive parity,"Afairness metricthat checks whether,
for a given classifier, theprecisionrates
are equivalent for subgroups under consideration. For example, a model that predicts college acceptance would satisfy
predictive parity for nationality if its precision rate is the same
for Lilliputians and Brobdingnagians. Predictive parity is sometime also calledpredictive rate parity. See""Fairness Definitions
Explained""(section 3.2.1)
for a more detailed discussion of predictive parity.",,"['class', 'fairness metric', 'metric', 'model', 'precision', 'predictive rate parity']",,false,"(predictive(\s|-)?parity|\s(\s|\.|\,))"
temporal data,"Data recorded at different points in time. For example, winter coat sales
recorded for each day of the year would be temporal data.",,[],,false,"(temporal(\s|-)?data|\s(\s|\.|\,))"
tf.Example,A standardprotocol bufferfor describing input data for machine learning model training or inference.,,"['inference', 'machine learning', 'model', 'model training', 'training']",,false,"(tf.Example|\s(\s|\.|\,))"
unidirectional,"A system that only evaluates the text thatprecedesa target section of text.
In contrast, a bidirectional system evaluates both the
text thatprecedesandfollowsa target section of text.
Seebidirectionalfor more details.",,"['bidirectional', 'target']",,false,"(unidirectional|\s(\s|\.|\,))"
Gradient checkpointing,"Sometimes even using small batch size and other optimization techniques, e.g. Gradient Accumulation, Freezing, or Automatic Precision Training, we still can run out of memory, especially in cases when the models are large enough. One of the proposed powerful solutions for solving this issue is Gradient Checkpointing, which was firstly introduced in the ""Training Deep Nets With Sublinear Memory Cost"" paper in 2016. The authors demonstrated that Gradient Checkpointing can significantly reduce memory utilization from  
O
(
n
)
  to  
O
(
√
n
)
 , where  
n
  is the number of layers in the model. This approach allows training large models on a single GPU or provides more memory for increasing the batch size for better and faster convergence.",,"['gradient', 'checkpoint', 'optimization']",,false,(Gradient(\s|-)?checkpoint)
dense layer,Synonym forfully connected layer.,,"['fully connected layer', 'layer']",fully connected layer,true,"(dense(\s|-)?layer|\sfully connected layer(\s|\.|\,))"
tabular Q-learning,"In Q-learning, an implementation using a table to store the Q-functions for every combination of state and action. ",,"['action', 'Q-function', 'Q-learning', 'state']",,false,"(tabular(\s|-)?Q(\s|-)?learn|\s(\s|\.|\,))"
mini-batch stochastic gradient descent,"An Optimizer (gradient descent algorithm) that uses mini-batches. In other words, mini-batch stochastic gradient descent estimates the gradient based on a small subset of the training data. ",,"['batch', 'gradient', 'gradient descent', 'mini-batch', 'training']",,false,"(mini(\s|-)?batch(\s|-)?stochastic(\s|-)?gradient(\s|-)?descent|\s(\s|\.|\,))"
gradient accumulation,"A backpropagation technique that updates the parameters only once per epoch rather than once per iteration. The idea is to simulate a larger batch size. Sometimes using a large batch size is necessary for better convergence or improving the performance, however, it often requires a lot of memory. ",,"['backpropagation', 'batch', 'batch size', 'epoch', 'gradient', 'iteration', 'mini-batch', 'model', 'parameter', 'parameter update', 'training']",,false,"(gradient(\s|-)?accumulat|\s(\s|\.|\,))"
one-shot learning,"A machine learning approach, often used for object classification,
designed to learn effective classifiers from a single training example. See alsofew-shot learningandzero-shot learning.",,"['class', 'few-shot learning', 'machine learning', 'training', 'zero-shot learning']",,false,"(one(\s|-)?shot(\s|-)?learn|\s(\s|\.|\,))"
prompt design,Synonym for prompt engineering.,,"['prompt', 'prompt engineering']",prompt engineering,true,"(prompt(\s|-)?design|\sprompt engineering(\s|\.|\,))"
instance,Synonym forexample.,,[],example,false,"(instance|\sexample(\s|\.|\,))"
landmarks,Synonym forkeypoints.,,"['keypoints']",keypoints,true,"(landmark|\skeypoints(\s|\.|\,))"
k-median,A clustering algorithm closely related to k-means.,,"['clustering', 'k-means']",,false,"(k(\s|-)?median|\s(\s|\.|\,))"
feature extraction,Overloaded term having either of the following definitions:,,[],,false,"(feature(\s|-)?extract|\s(\s|\.|\,))"
GPT,"A family ofTransformer-basedlarge language modelsdeveloped byOpenAI. GPT variants can apply to multiplemodalities, including: ",GPT,"['language model', 'large language model', 'model', 'Transformer']",,false,"(|\sGPT(\s|\.|\,)|\s(\s|\.|\,))"
generator,"The subsystem within agenerative adversarial
networkthat creates newexamples. Contrast withdiscriminative model.",,"['discriminative model', 'model']",,false,"(generator|\s(\s|\.|\,))"
Parameter-efficient fine-tuning (PEFT),"A set of techniques to fine-tune a large pre-trained language model (PLM) more efficiently than full fine-tuning. Parameter-efficient
tuning typically fine-tunes far fewerparametersthan full
fine-tuning, yet generally produces alarge language modelthat performs
as well (or almost as well) as a large language model built from full fine-tuning. 
Parameter-efficient tuning is also known as parameter-efficient fine-tuning.",,"['language model', 'large language model', 'model', 'parameter']",,false,"(parameter(\s|-)?efficient(\s|-)?tun|\s(\s|\.|\,))"
overfitting,"Creating a modelthat matches the training data so closely that the model fails to
make correct predictions on new data. Regularizationcan reduce overfitting.
Training on a large and diverse training set can also reduce overfitting. Overfitting is like strictly following advice from only your favorite
teacher. You'll probably be successful in that teacher's class, but you
might ""overfit"" to that teacher's ideas and be unsuccessful in other
classes. Following advice from a mixture of teachers will enable you to
adapt better to new situations. ",,"['class', 'model', 'prediction', 'regularization', 'training', 'training set']",,false,"(overfitt|\s(\s|\.|\,))"
sampling bias,See selection bias.,,"['selection bias']",,false,"(sampling(\s|-)?bia|\s(\s|\.|\,))"
L1 loss,"A loss function that calculates the absolute value
of the difference between actuallabelvalues and
the values that amodelpredicts. For example, here's the
calculation of L1loss for abatchof fiveexamples: L1loss is less sensitive tooutliersthanL2loss. TheMean Absolute Erroris the average
L1loss per example. $$ L_1 loss = \sum_{i=0}^n | y_i - \hat{y}_i |$$",,"['batch', 'L2loss', 'label', 'loss', 'loss function', 'model', 'outliers', 'retrieval-augmented generation']",,false,"(L1loss|\s(\s|\.|\,))"
SepCNN,"Also known as depthwise separable convolutional neural network - SepCNN is a convolutional neural network architecture based on Inception,
but where Inception modules are replaced with depthwise separable
convolutions. Also known as Xception. A depthwise separable convolution (also abbreviated as separable convolution)
factors a standard 3D convolution into two separate convolution operations
that are more computationally efficient: first, a depthwise convolution,
with a depth of 1 (n ✕ n ✕ 1), and then second, a pointwise convolution,
with length and width of 1 (1 ✕ 1 ✕ n). To learn more, seeXception: Deep Learning with Depthwise Separable
Convolutions. ",,"['convolution', 'convolutional neural network', 'depth', 'neural network', 'width']",,false,"(SepCNN|\s(\s|\.|\,))"
tower,"A component of adeep neural networkthat is
itself a deep neural network. In some cases, each tower reads from an
independent data source, and those towers stay independent until their
output is combined in a final layer. In other cases, (for example, in
theencoderanddecoderstack/tower of
manyTransformers), towers have cross-connections
to each other.",,"['decoder', 'deep neural network', 'encoder', 'layer', 'neural network', 'Transformer', 'Tensor Processing Unit']",,false,"(tower|\s(\s|\.|\,))"
token,"In a language model, the atomic unit that the model is
training on and making predictions on. A token is typically one of the
following: In domains outside of language models, tokens can represent other kinds of
atomic units. For example, in computer vision, a token might be a subset
of an image. ",,"['language model', 'model', 'prediction', 'training']",,false,"(token|\s(\s|\.|\,))"
weighted sum,"The sum of all the relevant input values multiplied by their corresponding
weights. For example, suppose the relevant inputs consist of the following: The weighted sum is therefore: A weighted sum is the input argument to anactivation function. ",,"['activation function', 'weight']",,false,"(weighted(\s|-)?sum|\s(\s|\.|\,))"
Q-learning,"In reinforcement learning, an algorithm that allows an agent to learn the optimal Q-function of a Markov decision process by applying the Bellman equation. The Markov decision process models
an environment. 
""Q"" refers to the Q-function: a function that calculates the quality of a state–action combination.",,"['agent', 'Bellman equation', 'environment', 'model', 'Q-function', 'large language model']",,false,"(Q(\s|-)?learn|\s(\s|\.|\,))"
model parameter,"The model variables that are learned from the data during training e.g. weights, biases.",,"['hyperparameter', 'learning rate', 'linear', 'linear regression', 'model', 'training', 'weight']",,false,"(parameter|\s(\s|\.|\,))"
node (decision tree),"In adecision tree, anyconditionorleaf.",,"['condition', 'decision tree', 'leaf']",,false,"(node(\s|-)?|\s(\s|\.|\,))"
hyperparameter,"A hyperparameter is a training parameter or variable whose value is set before the training process begins.  Hyperparameters are configurations that are set before the learning process begins and control the learning process itself. These include settings like the learning rate, the number of layers, the number of neurons per layer, and regularization parameters like the strength of Lasso regularization. Examples of hyperparameters include learning rate, the number of hidden layers and batch size. ",,"['learning rate', 'model', 'parameter', 'training', 'weight', 'intersection over union']",,false,"(hyperparameter|\s(\s|\.|\,))"
